name,visitors,bounce_rate,visit_duration
Direct / None,941284,90,29
newsletter,57,96,40
Artificial+Intelligence+Weekly,23,87,10
muzli,7,100,0
zalo,2,50,2
simplified,2,100,0
iOS+Dev+Weekly,2,100,0
