name,visitors
iOS,516771
Android,267160
Mac,76075
Windows,71287
GNU/Linux,6121
Chrome OS,1813
Ubuntu,1334
iPadOS,1144
HarmonyOS,250
Fedora,27
FreeBSD,14
Firefox OS,13
(not set),10
Windows Phone,10
OpenBSD,5
Tizen,4
KaiOS,4
PlayStation,2
Rosa,1
NetBSD,1
